Mobile_Name,Price,Ratings,Links,Technical_Specifications
SAMSUNG Galaxy F22 Denim Blue 64 GB,11999,4.3,/samsung-galaxy-f22-denim-blue-64-gb/p/itmce0a6baf0d54d?pid=MOBG43UGBTGGB99V&lid=LSTMOBG43UGBTGGB99VLZACSD&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG43UGBTGGB99V.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera6000 mAh Lithium-ion BatteryMediaTek Helio G80 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy F22 Denim Blue 128 GB,13999,4.3,/samsung-galaxy-f22-denim-blue-128-gb/p/itm30c755943bea0?pid=MOBG43UGRSMJXTMH&lid=LSTMOBG43UGRSMJXTMH8AUDHE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG43UGRSMJXTMH.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera6000 mAh Lithium-ion BatteryMediaTek Helio G80 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy F22 Denim Black 128 GB,13999,4.3,/samsung-galaxy-f22-denim-black-128-gb/p/itm9f921a1b4f96c?pid=MOBG43UGFGYU4K4B&lid=LSTMOBG43UGFGYU4K4B0FR1R0&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG43UGFGYU4K4B.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera6000 mAh Lithium-ion BatteryMediaTek Helio G80 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy M32 Light Blue 128 GB,14799,4.3,/samsung-galaxy-m32-light-blue-128-gb/p/itm5d86d7bdb3504?pid=MOBG4NZWMWHXYC6R&lid=LSTMOBG4NZWMWHXYC6RMQZTVH&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG4NZWMWHXYC6R.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 20MP Front Camera6000 mAh BatteryMediaTek Helio G80 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
SAMSUNG Galaxy F22 Denim Black 64 GB,11999,4.3,/samsung-galaxy-f22-denim-black-64-gb/p/itm6f47a19cb79ae?pid=MOBG43UGC3PYCBZF&lid=LSTMOBG43UGC3PYCBZFSIRYTE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBG43UGC3PYCBZF.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera6000 mAh Lithium-ion BatteryMediaTek Helio G80 Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy F23 5G Aqua Blue 128 GB,16999,4.1,/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itme54bc0c2292f4?pid=MOBGBKQF45XPEUHA&lid=LSTMOBGBKQF45XPEUHATCA8X7&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGBKQF45XPEUHA.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy F23 5G Copper Blush 128 GB,16999,4.1,/samsung-galaxy-f23-5g-copper-blush-128-gb/p/itm59c8bf3255ef6?pid=MOBGE2ZU2YBUAEVZ&lid=LSTMOBGE2ZU2YBUAEVZCKFQ6T&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGE2ZU2YBUAEVZ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy M33 5G Deep Ocean Blue 128 GB,16875,4,/samsung-galaxy-m33-5g-deep-ocean-blue-128-gb/p/itm6fafe6189184d?pid=MOBGDC886NT7GAXR&lid=LSTMOBGDC886NT7GAXROR0IVO&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGDC886NT7GAXR.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery12 months
SAMSUNG Galaxy F23 5G Aqua Blue 128 GB,15999,4.1,/samsung-galaxy-f23-5g-aqua-blue-128-gb/p/itm89d3030e3857e?pid=MOBGBKQFHKZHTHKJ&lid=LSTMOBGBKQFHKZHTHKJIHLFJF&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGBKQFHKZHTHKJ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Galaxy F23 5G Forest Green 128 GB,16999,4.1,/samsung-galaxy-f23-5g-forest-green-128-gb/p/itm4001e68fda319?pid=MOBGBKQF3QM4GHWN&lid=LSTMOBGBKQF3QM4GHWNEXFBQE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGBKQF3QM4GHWN.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 750G Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
SAMSUNG Guru Music 2,1997,4.3,/samsung-guru-music-2/p/itmdde40382e86b8?pid=MOBF54P4G66ZBJ9K&lid=LSTMOBF54P4G66ZBJ9KMDLPX5&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBF54P4G66ZBJ9K.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,NA ROM5.08 cm (2 inch) NA Display800 mAh Battery1 Year Manufacturer Warranty
SAMSUNG Galaxy M12 Blue 64 GB,10285,4.2,/samsung-galaxy-m12-blue-64-gb/p/itm062b6548d8904?pid=MOBGFG8GCPEGKGF4&lid=LSTMOBGFG8GCPEGKGF4I45MSI&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGFG8GCPEGKGF4.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) Display48MP Rear Camera6000 mAh Battery1 Year
SAMSUNG GURU MUSIC 2,1995,4.2,/samsung-guru-music-2/p/itm2c9ea56f8959f?pid=MOBGAFCZ7FDHRZRE&lid=LSTMOBGAFCZ7FDHRZREI8SCCV&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGAFCZ7FDHRZRE.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,8 MB RAM | 0 GB ROM | Expandable Upto 16 GB5.08 cm (2 inch) QVGA Display0MP | 0MP Front Camera800 mAh Battery0 0 0 208MHz Processor1 Year Manufacturer's Warranty
SAMSUNG Guru Music 2,1997,4.3,/samsung-guru-music-2/p/itmdde40382e86b8?pid=MOBGA6GQDBHUERUZ&lid=LSTMOBGA6GQDBHUERUZ4BYKPG&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_na&fm=organic&iid=3166b981-214d-4b33-89ee-5bed2b710fa9.MOBGA6GQDBHUERUZ.SEARCH&ppt=None&ppn=None&ssid=ruet6o37hs0000001654367627660&qH=0258c7d48242959a,NA ROM5.08 cm (2 inch) NA Display800 mAh Battery1 Year Manufacturer Warranty
